PN,DESCRIPTION,COMPONENT PN,CERTIFICATE,QTY,Owner
26019383-101,FILTER,4084042-911,FAA,2,HX
2603038,RETAINER.PIN,,OEM COC,3,HX
2612856,标牌,2607825-2,FAA,20,HX
26147-0005,DECAL,8055515-4501,FAA,1,HX
26175-0028,nameplate,2041217-0414,JAA FORM1,8,HX
26206-0004,PLATE,066-50000-2120,FAA,2,HX
262-1424-040,LAMP,,OEM COC,1,HX
262-2414-110,SPEED INDICATOR,822-1567-102,FAA,1,HX
262-2414-120,LCD,822-1494-103,FAA,1,HX
262-2794-020,"INDICATOR, EM",622-4717-004,FAA,1,HX
262-2794-040,INDICATOR EM,622-4717-004,FAA,1,HX
262-2794-050,INDICATOR EM,622-4717-004,Confirm When Quote,1,HX
26246-287-0-8,CAPACITOR,664700500A4D,EASA,4,HX
26246-287-0-8,CAPACITOR,664700500A4D,Confirm When Quote,20,HX
26246-462-0-8,CAPACITOR,664700500A4D,Confirm When Quote,28,HX
26246-484-0-8,CAPACITOR,664700500A4D,OEM COC,12,HX
26246-484-0-8,CAPACITOR,664700500A4D,OEM COC,4,HX
26246-487-0-8,CAP,664700500A4A,Confirm When Quote,13,HX
26246-487-0-8,CAP,664700500A4A,Confirm When Quote,20,HX
26268-0001,"PLATE,SOFTWARE",8055515-4501,FAA,1,HX
26290-0001,"DECAL, MOD",064-50000-0110,FAA,1,HX
26290-0003,"DECAL, MOD",064-50000-0110,FAA,1,HX
26290-0004,MODIFICATION LABEL,066-50013-0101,FAA,11,HX
264-0589-000,FUSE,622-2224-001,Confirm When Quote,3,HX
264-0720-000,FUSE,622-2224-001,Confirm When Quote,4,HX
264-0721-000,FUSE,622-2224-001,Confirm When Quote,4,HX
264119,SWITCH,473925,OEM COC,1,HX
264119,SWITCH,473925,FAA,1,HX
2643324907,CAPACITOR,664700500A4D,EASA,8,HX
264-4080-000,FUSE,622-2921-001,FAA,4,HX
2652112501,CAPACITOR,664700500A4D,EASA,2,HX
26521-130-0-1,CAPACITOR,664700500A4D,OEM COC,5,HX
2658873101,CAPACITOR,664700500A4D,FAA,10,HX
26588-731-0-1,CAPACITOR,664700500A4A,Confirm When Quote,17,HX
26588-753-0-7,CAPACIOR,664700500A4A,Confirm When Quote,9,HX
266-0330-010,SPD SWITCH ASSEMBLY,822-1567-102,FAA,1,HX
266-0330-180,ALT HLD SWITCH ASSY,822-1567-102,FAA,1,HX
266-0330-190,V/S SWITCH ASSY,822-1567-102,FAA,1,HX
266-0330-220,APP SWITCH ASSY,822-1567-102,FAA,1,HX
266-0330-230,CMD SWITCH,822-1567-102,FAA,1,HX
266-0330-230,CMD SWITCH,822-1567-102,FAA,1,HX
266-0330-240,CWS SWITCH ASSEMBLY,822-1567-102,FAA,1,HX
266-0330-260,SWITCH ASSEMBLY,822-1567-102,FAA,1,HX
266-0330-290,"SWITCH ASSEMBLY, ILLUMINATED (HDG SEL)",822-1567-102,FAA,1,HX
266-0330-300,SPEED SWITCH,822-1567-102,FAA,1,HX
26-60-4020,接插件,,OEM COC,214,HX
266-0430-170,ALT HLD SWITCH CAP,822-1567-102,FAA,1,HX
266-0430-230,CWS SWITHC CAP,822-1567-102,FAA,1,HX
266-0430-250,SWITCH CAP,822-1567-102,FAA,1,HX
266-0430-280,HDG SEL SWITCH CAP,822-1567-102,FAA,1,HX
266-5321-700,SWITCH,622-4717-004,FAA,1,HX
266-5404-010,SWITCH,822-1293-033,FAA,3,HX
267-0500-010,开关,,Confirm When Quote,2,HX
26ET61-T,SWITCH,233A3209-2,FAA,1,HX
27-14-90023,COVER PART,89-01-07042,EASA,1,HX
27-14-90023,COVER PART,89-01-07042,EASA,1,HX
27-14-90313,COVER PART,89-01-07155,EASA,4,HX
27-14-90378,"COVER KEYPAD (QUARTZ-GREY,10 KEYS)",N40-1B20215-102,EASA,1,HX
275-0036,FUSE,G6992-02,FAA,5,HX
275007,FUSE,,Confirm When Quote,3,HX
27-59005-419-01,FLAP LOCKING,899-0850-004,EASA,4,HX
27-59005-421-02,SPRING,899-0850-004,EASA,1,HX
27-59005-421-02,SPRING,899-0850-004,EASA,2,HX
276005,FUSE,622-5132-120,FAA,5,HX
276-0729-060,COIL,822-0990-003,FAA,1,HX
277-0520-010,MIXER,622-5272-001,FAA,2,HX
277-0786-020,"MICROCIRCUIT, SPLITER",822-1293-002,FAA,1,HX
277-0786-020,"MICROCIRCUIT, SPLITER",822-1293-002,FAA,4,HX
277-0825-030,MICROCIRCUIT,822-1293-003,JAA FORM1,1,HX
278-0365-090,TRANSFORMER,622-4717-004,FAA,6,HX
278-0365-120,TRANSFORMER,622-5222-001,Confirm When Quote,6,HX
278-0902-010,TRANSFORMER,822-1287-120,FAA,2,HX
2788AF50,MICROCIRCUIT,ACP2788AB05,EASA,1,HX
2788ZA98404,PLATE,ACP2788AC01,JAA FORM1,13,HX
2790AA00343,PACKING,AMU2790CB06,EASA,39,HX
2790AA00352,PACKING,AMU2790CB06,EASA,99,HX
2790AA72,CIRCUIT CARD,AMU2790CB06,EASA,1,HX
2790AL46,IC,AMU2790CB06,EASA,2,HX
280-22002-270,IC,65-52801-60,Confirm When Quote,4,HX
280-2745-130,LABEL,792-6140-001,Confirm When Quote,5,HX
280-3847-040,LABEL,822-0298-020,Confirm When Quote,1,HX
280-3847-040,LABEL,822-0298-020,Confirm When Quote,15,HX
280T1020-135,IC,285T1104-19,FAA,1,HX
280T1020-580,IC,65-52801-60,Confirm When Quote,1,HX
281-0661-070,KNOB,622-5048-344,OEM COC,1,HX
281-0661-140,KNOB,,OEM COC,1,HX
281-0661-160,KNOB,,OEM COC,1,HX
281-0661-440,KNOB,622-8001-350,FAA,1,HX
281-0670-030,KNOB,622-8001-001,OEM COC,1,HX
281-0673-060,KNOB,622-7081-001,Confirm When Quote,3,HX
282-1001-002,LIGHT ASSEMBLY,473955-1,FAA,5,HX
2825610318,"DIODE ,ZENER",664700500A4D,OEM COC,39,HX
28264-116-0-8,IC,664700500A4D,Confirm When Quote,8,HX
28264-116-0-8,IC,664700500A4D,Confirm When Quote,10,HX
2829-75-3,"STRAP, Rubber",42-935-2,FAA,3,HX
28317-555-0-5,TRANSISTOR,664700500A4A,OEM COC,6,HX
28317-615-0-5,TRANSISTOR,664700500A4D,OEM COC,4,HX
28317-616-0-5,TRANSISTOR,664700500A4D,OEM COC,4,HX
2.83211E+14,VISOR,K217BBM11,EASA,1,HX
28366-682-0-5,TRANSISTOR,664700500A4D,OEM COC,7,HX
28484,PUSH BUTTON,01N65920,Confirm When Quote,2,HX
2854291531,FLAT SPRING,96126096,EASA,9,HX
285A1017-5,BOARD,,FAA,1,HX
285N0414-109,SHELL,285N0412-3,Confirm When Quote,1,HX
285N0414-120,SHELL,285N0412-9,FAA,1,HX
285T0395-5,IC,,FAA,1,HX
285T0567-1,IC,,Confirm When Quote,1,HX
285T0854-4,BEZEL,285T0852-1,FAA,1,HX
285W0095-1,CABLE ASSY,285W0024-1B,FAA,1,HX
285W0095-1,CABLE ASSY,285W0024-1B,FAA,2,HX
285W0095-5,CABLE ASSY,285W0024-1B,FAA,2,HX
285W0095-5,CABLE ASSY,285W0024-1B,FAA,3,HX
285W0096-10A,FRONT HALF,285W0024-1G,FAA,1,HX
285W0096-10A,FRONT HALF,285W0024-1G,FAA,1,HX
285W0096-11A,BACK SHELL,285W0024-1G,FAA,1,HX
285W1001-1,ISOLATOR,285W0024-1B,FAA,1,HX
285W1001-1,ISOLATOR,285W0024-1B,FAA,1,HX
285W1001-2,ISOLATOR ASSY,285W0024-1B,FAA,3,HX
285W1001-3,ISOLATOR ASSY,285W0024-1B,FAA,3,HX
285W1001-4,ISOLATOR,285W0024-1B,FAA,1,HX
285W1001-9,GASKET,285W0024-1B,FAA,2,HX
28651-895-0-0,IC,664700500A4D,OEM COC,2,HX
28652-161-0-0,IC,664700500A4D,OEM COC,3,HX
28652-404-0-0,IC,664700500A4D,Confirm When Quote,10,HX
28652-629-0-8,IC,664700500A4D,OEM COC,5,HX
28652-919-0-0,IC,664700500A4D,OEM COC,1,HX
28682-193-0-8,PAD,664700500A4D,OEM COC,28,HX
28682-193-0-8,PAD,664700500A4D,OEM COC,50,HX
28747-174-0-8,IC,664700500A4D,OEM COC,1,HX
28747-205-0-8,OSCILL,664700500A4D,Confirm When Quote,2,HX
289-6979-020,晶振,,Confirm When Quote,3,HX
289-6979-020,晶振,,Confirm When Quote,2,HX
289-7039-030,晶振,622-5219-120,FAA,1,HX
289-7502-010,晶振,,Confirm When Quote,1,HX
28S1-12,STUD ASSEMBLY,19-99-21,FAA,5,HX
2-902-027,LABEL,,Confirm When Quote,4,HX
37193,PLATE,89-01-07127,EASA,1,HX
294-960037-000,LED,C19266EA01,OEM COC,9,HX
294-990148-826,LED,C19266EA01,EASA,9,HX
296-1005-1-ND,IC,066-50008-0406,Confirm When Quote,3,HX
296-1036-1-ND,IC,822-1338-003,Confirm When Quote,6,HX
296-15687-1-ND,IC,9MK412543-00,Confirm When Quote,10,HX
296-16650-ND,CVBS DECODER,252167-01,Confirm When Quote,4,HX
296-41555-5-ND,IC,822-1710-001,Confirm When Quote,4,HX
296-9253-5-ND,IC,49-170-11,Confirm When Quote,2,HX
2982560705,POWER SUPPLY,9615325060,EASA,1,HX
2A114-0020-1,HANDLE AND PLATE ASSY-,1A081-0155-11,OEM COC,1,HX
2LA455226-05,"LAMP,READING",,EASA,1,HX
2LA455226-35,"LAMP,READING",,EASA,1,HX
2LA455745-00,PANEL LIGHT,2LA005541-11,EASA,1,HX
2LA455745-00,PANEL LIGHT,2LA005541-11,EASA,1,HX
2N1501,TRANSISTOR,,Confirm When Quote,4,HX
2N1604,TRANSISTOR,607518-2,Confirm When Quote,1,HX
2N1711,TRANSISTOR,711002-5,FAA,24,HX
2N2324A,THYRISTOR,2067631-5154,FAA,8,HX
2N2327,整流器,,Confirm When Quote,2,HX
2N2327,整流器,,Confirm When Quote,3,HX
2N2398,TRANSISTOR,2067631-5154,FAA,99,HX
2N2608,TRANSISTOR,2067631-5154,FAA,9,HX
2N2608,TRANSISTOR,2067631-5154,FAA,30,HX
2N2904A,TRANSISTOR,42-016-04,FAA,4,HX
2N2945AUB,TRANSISTOR,49-170-11,OEM COC,9,HX
2N336A,TRANSISTOR,2067631-5154,FAA,28,HX
2N3416,TRANSISTOR,,Confirm When Quote,8,HX
2N3442,TRANSISTOR,948F458-5,Confirm When Quote,17,HX
2N3621,TRANSISTOR,,Confirm When Quote,2,HX
2N3741,TRANSISTOR,HG480B42,FAA,2,HX
2N3772,TRANSISTOR,,Confirm When Quote,7,HX
2N3789,TRANSISTOR,69-55179-63,Confirm When Quote,1,HX
2N3789,TRANSISTOR,69-55179-63,Confirm When Quote,10,HX
2N4391,TRANSISTOR,C2029339C9C9C,FAA,3,HX
2N4877,TRANSISTOR,701285,FAA,2,HX
2N491,TRANSISTOR,711002-5,FAA,5,HX
2N5058,TRANSISTOR,,Confirm When Quote,10,HX
2N5562,TRANSISTOR,312EDP2-2,FAA,5,HX
2N6059,TRANSISTOR,,Confirm When Quote,1,HX
2N6235,TRANSISTOR,,Confirm When Quote,5,HX
2N6292,TRANSISTOR,,Confirm When Quote,10,HX
2N6497G,NPN高压TRANSISTOR,,Confirm When Quote,7,HX
2N6758,TRANSISTOR,,Confirm When Quote,5,HX
2N6758,TRANSISTOR,,Confirm When Quote,5,HX
2N6804,TRANSISTOR,664700500A4D,Confirm When Quote,2,HX
2N697,TRANSISTOR,,Confirm When Quote,2,HX
2N909,TRANSISTOR,2067631-5154,FAA,14,HX
2PB11H58,SWITCH,69-37325-135,FAA,1,HX
30008-0019,"BUSHING,INSUL",8055515-4501,FAA,1,HX
300-1049-001,Voltage Regulator +9V,617-6265-001,FAA,1,HX
300-1063-094,"CAPACITOR, ELECTROLYTIC",700-2061-002,OEM COC,3,HX
300-1106-002,MODEM,964-0453-011,EASA,1,HX
300-1108-002,POWER BOARD,964-0452-001,EASA,2,HX
30060146-0502,PRINTER HEAD,8055515-4501,FAA,1,HX
30060146-0502,PRINTER HEAD,8055515-4501,FAA,1,HX
300-700-1049-001,SWITCH,69-76436-7,FAA,1,HX
30090124-0504,模,,FAA,1,HX
30090331-0502,VCO,066-50007-0101,FAA,2,HX
3009P1-502,调节RESISTOR,,Confirm When Quote,3,HX
30102556,IC,2233000-816-1,FAA,18,HX
30102917,IC,,Confirm When Quote,1,HX
30103097,IC,2233000-815-1,FAA,10,HX
30103402,FLASH MEMORY,2233000-816-1,Confirm When Quote,7,HX
30103404,IC,2233000-816-1,FAA,1,HX
30103477,IC,2233000-816-1,FAA,8,HX
30103566,IC,2234320-01-01,FAA,3,HX
3.01101E+11,电刷,,OEM COC,3,HX
301-1064-005,CRYSTAL,066-50007-0111,FAA,4,HX
3011249,RONDELLE,,JAA FORM1,14,HX
301-2025-006,晶振,,FAA,1,HX
301-2069-002,XTAL,064-50000-0202,FAA,1,HX
3020010073,"PLATE, AMENDMENT",,OEM COC,3,HX
30202088,"RESISTOR, DIVIDER",2233000-816-1,FAA,5,HX
302-062-0078-02,WASHER,,Confirm When Quote,37,HX
302-0646-070,"Bushing, Insulator",822-1293-003,FAA,26,HX
3021250023,SCREW,3945122608,OEM COC,2,HX
3021250322,"SCREW, STL, CSK",3945122608,OEM COC,4,HX
3021302,PIN CONTACT,4292209,EASA,1,HX
30-2506L3,30-2506L3,30-2506-3,FAA,1,HX
3026051,Wire electrical,4292209,EASA,17,HX
3026051,Wire electrical,4292209,EASA,2,HX
30-295-301-28,SCREW,755SUE2-4,Confirm When Quote,4,HX
30-295-401-12,螺丝,,Confirm When Quote,3,HX
30-295-401-12,螺丝,,Confirm When Quote,1,HX
30-295-601-25,SCREW,,Confirm When Quote,5,HX
30-297-612-02,NUT,,Confirm When Quote,4,HX
30-298-142-03,WASHER,755SUE2-4,Confirm When Quote,9,HX
30-298-145-03,SCREW,WL501RC1,Confirm When Quote,16,HX
30-298-145-04,WASHER,755SUE2-4,FAA,5,HX
30-298-211-02,WASHER,755SUE2-4,FAA,5,HX
30300181,FILTER,2233000-4-A,FAA,3,HX
303354,六角螺丝,,Confirm When Quote,6,HX
3040037,Wire electrical，yellow,4292209,EASA,15,HX
30413-01-271,开关,69-37346-102,FAA,3,HX
30413-01-273,开关,69-37346-102,FAA,2,HX
30413-01-274,SWITCH,69-37346-102,FAA,1,HX
30413-01-295,开关,69-37346-102,FAA,1,HX
30413-01-296,开关,69-37346-123,FAA,6,HX
305-1360-000,RIVET,622-7999-003,OEM COC,2,HX
30-581-311,WASHER,WL102AMS2,Confirm When Quote,28,HX
30-581-311,WASHER,WL102AMS2,Confirm When Quote,2,HX
30-581-315,卡圈,WL102AMS3,Confirm When Quote,29,HX
3059799,relay,,JAA FORM1,1,HX
30-62-00003,"CORD, COILED (EXTRA LONG)",89-01-07154,EASA,1,HX
306-2222-100,TERMINAL,622-3890-020,FAA,3,HX
306-2548-010,TERMINAL,622-3890-020,Confirm When Quote,1,HX
306-2548-010,TERMINAL,622-3890-020,FAA,3,HX
306-2650-010,"TERMINAL,STUD",622-7878-201,FAA,10,HX
307-1270-000,EYELET,622-3890-020,Confirm When Quote,2,HX
307-1270-000,EYELET,622-3890-020,FAA,6,HX
30-763-410,WASHER,,Confirm When Quote,3,HX
30-781-1043-04,密封圈,WL501RC1,Confirm When Quote,2,HX
30-781-1180-134,O-RING,501FAD1-1,EASA,2,HX
30-781-199-14,RING,,JAA FORM1,2,HX
30-784-1350-12,SLEEVE,,OEM COC,10,HX
30-784-501-07,袖套,,JAA FORM1,25,HX
30-784-501-08,袖套,,JAA FORM1,25,HX
308-0070-000,扣,777-1492-005,FAA,2,HX
3081F,IC,622-2362-001,Confirm When Quote,12,HX
30-867-6442-07,CONTACT,212EDP1-3,JAA FORM1,4,HX
309-0784-000,BEARING,,Confirm When Quote,2,HX
309-1037-000,BEARING,,Confirm When Quote,2,HX
309-1174-010,BEARING,066-50008-0406,Confirm When Quote,17,HX
309-1175-010,BEARING,,Confirm When Quote,3,HX
309-1206-020,BEARING,622-5135-002,Confirm When Quote,4,HX
309-1206-040,BEARING,622-5135-001,FAA,1,HX
309-1206-040,BEARING,622-5135-001,FAA,1,HX
309-1243-050,BEARING,,FAA,1,HX
309-1333-010,BEARING,,Confirm When Quote,2,HX
309-1494-000,BEARING,,Confirm When Quote,2,HX
309-1558-000,BEARING,,Confirm When Quote,9,HX
309-1559-000,BEARING,,Confirm When Quote,2,HX
309-1561-000,BEARING,,Confirm When Quote,2,HX
309-1833-000,BEARING,,Confirm When Quote,2,HX
309-1862-000,BEARING,,Confirm When Quote,2,HX
309-1967-020,BEARING,622-4563-004,Confirm When Quote,7,HX
309-1967-020,BEARING,622-4563-004,Confirm When Quote,1,HX
309-1969-010,BEARING,622-4565-001,Confirm When Quote,2,HX
309-1973-010,BEARING,622-5135-001,FAA,1,HX
30995041,PRINTHEAD,4092754-901,FAA,1,HX
310-0040-001,TRANSFORMER,980-6022-001,FAA,1,HX
310-0135-000,垫片,2233000-4-A,Confirm When Quote,8,HX
310-0275-000,"WASHER, LOCK",622-5001-601,FAA,20,HX
310-0279-000,WASHER,822-0987-003,FAA,9,HX
310-0338-001,TRANSFORMER,,Confirm When Quote,1,HX
310-0338-001,TRANSFORMER,,FAA,1,HX
310-0339-001,TRANSFORMER,,FAA,1,HX
310-0519-003,"TRANSFORMER, PULSE",965-1690-052,FAA,2,HX
310-0523-002,"TRANSFORMER, POWER",965-1690-052,FAA,2,HX
310-0556-002,TRANSFORMER,964-0452-001,EASA,10,HX
310-0556-002,TRANSFORMER,964-0452-001,EASA,3,HX
310-0578-001,TRANSFORMER,980-4700-042,FAA,1,HX
310-0578-001,TRANSFORMER,980-4700-042,FAA,5,HX
310-0578-001,TRANSFORMER,980-4700-042,FAA,3,HX
310-0740-360,WASHER,822-1293-003,OEM COC,5,HX
310-0740-360,WASHER,822-1293-003,FAA,21,HX
310-0740-440,WASHER,622-5135-002,OEM COC,2,HX
310-0740-520,WASHER,,OEM COC,2,HX
310-0779-020,WASHER,822-0990-003,FAA,26,HX
310-0779-050,"Washer, Flat",822-0987-003,FAA,16,HX
310-6340-000,垫片,822-0732-101,Confirm When Quote,5,HX
310-6340-000,垫片,822-0732-101,OEM COC,10,HX
311,LAMP,10-0015-1,Confirm When Quote,1,HX
3121-20198,HOUSING,7121-19971-01AC,EASA,1,HX
31-2835-1,GASKET,30-0837-5,FAA,1,HX
31-2911-7,CAPACITOR,30-1401-3,FAA,2,HX
313-0028,IC,G6773,Confirm When Quote,2,HX
313-0033,IC,G6773,Confirm When Quote,3,HX
313-0037-000,"Nut, Plain,",822-1293-003,FAA,14,HX
313-0200,I.C.,G6992-02,FAA,2,HX
313-0304,IC,G6992-02,FAA,1,HX
313-0304,IC,G6992-02,FAA,1,HX
313-0304,IC,G6992-02,FAA,1,HX
313-0403,IC,G7403-03,FAA,1,HX
313-0404,"linear switch, voltage",G7403-03,FAA,1,HX
313-0409,EEPROM I/W 313-S0409,G7403-03,FAA,1,HX
313-0413,IC,G7401-06,FAA,1,HX
313-0491-010,螺帽,,Confirm When Quote,3,HX
31-3321-3,..CAPACITOR ASSEMBLY,30-2676-1,FAA,1,HX
31-3321-3,..CAPACITOR ASSEMBLY,30-2676-1,FAA,1,HX
31-3321-3,..CAPACITOR ASSEMBLY,30-2676-1,FAA,1,HX
31-3674-1,RETAINER,30-1526-9,FAA,2,HX
31-3675-5,"CONTACT,HOUSING",30-2506-3,FAA,1,HX
313AVC2164IS,IC,1256436,FAA,1,HX
313-S0315,IC,G6992-12,FAA,2,HX
31400960,CONNECTOR,2233000-816-1,FAA,1,HX
31-4079-37,LENS ASSEMBLY,30-2676-1,FAA,1,HX
3145-16098-1,PACKING,9022-15702-10,OEM COC,1,HX
3145-16098-1,PACKING,9022-15702-10,OEM COC,2,HX
31-4597-3,PLUG,30-2506-3,FAA,1,HX
31-4649-1,RETAINER LAMP,31-5451-1,FAA,1,HX
31-4662-1,REFLECTOR,31-5451-1,FAA,1,HX
314-973,FARNELL器件,,OEM COC,1,HX
315-0140-001,灯,,FAA,7,HX
31-5025-3,GASKET,30-1526-9,FAA,1,HX
315-1045-001,"FUSE,2A,2AG",617-6231-001,FAA,3,HX
31-5206-19,LANYARD,30-2581-3,FAA,1,HX
31-5247-1,RECEPTACLE ASSEMBLY,30-1526-9,FAA,1,HX
31-5455-2,GASKET,30-1691-2,FAA,1,HX
31-5558-1,灯组件,,Confirm When Quote,2,HX
315-6007-001,过滤器,980-6005-076,Confirm When Quote,2,HX
315-6085-001,FILTER,"066-50008-0405,066-50008-0406",FAA,1,HX
316-8119-001,SUPPLY HV POWER,2041222-2456,FAA,1,HX
31800044,DIODE,2233000-3-A,FAA,7,HX
31800056,DIODE,2233000-3-A,FAA,4,HX
31-8013-5,RETAINER,30-2506-3,FAA,1,HX
318-092-001,TERMINAL PLATE,69-37314-71,Confirm When Quote,1,HX
31-8225-1,GASKET,30-2675-1,FAA,2,HX
31-8556-9,.SUPPORT,30-2676-1,FAA,6,HX
3189100,KNOB,,FAA,1,HX
31-8953-1,LAMP ASSEMBLY,30-2675-1,FAA,1,HX
31900019,TRANSISTOR,2233000-45,Confirm When Quote,1,HX
31900046,TRANSISTOR,2233000-816-1,FAA,5,HX
31C6636,RESISTOR,,OEM COC,20,HX
320-0112-001,感应器,,FAA,1,HX
320-0112-001,感应器,,OEM COC,1,HX
320-0231-001,INDUCTANCE,066-50007-0111,FAA,1,HX
320-0231-001,INDUCTANCE,066-50007-0111,FAA,3,HX
320-0333-001,INDUCTOR,066-50000-2220,FAA,10,HX
32019-0004,TERMINNAL,2067631-5154,FAA,2,HX
32019-0004,TERMINNAL,2067631-5154,FAA,10,HX
320619,TERMINAL,45-0351-4,OEM COC,10,HX
32089-0020,CONN,8055515-4501,FAA,1,HX
321-1772-016,ASYNCHRONOUS MEMORY,965-1690-052,FAA,1,HX
321-1868-006,IC,965-1690-052,FAA,1,HX
321-2424-003,IC,980-6022-001,FAA,1,HX
321-2601-001,IC,980-4700-042,FAA,8,HX
321-2614-001,IC,965-1690-052,FAA,2,HX
321-3109-001,IC,617-6096-014,FAA,7,HX
321-3115-003,MICROCIRCUIT,965-1676-003,FAA,5,HX
321-3115-003,MICROCIRCUIT,965-1676-003,FAA,1,HX
321-3170-005,MICROCIRCUIT,965-1676-002,FAA,10,HX
322-0162-000,螺钉,,Confirm When Quote,26,HX
322-0693-001,OPERATION AMPLIFIER,965-1690-052,FAA,2,HX
322-1328-001,OPERATION AMPLIFIER,965-1690-052,FAA,2,HX
322-2077-002,IC,964-0452-012,Confirm When Quote,1,HX
322-2077-002,IC,964-0452-012,Confirm When Quote,2,HX
322-2093-003,MICROCIRCUIT,066-50000-2220,FAA,3,HX
322-3119-001,IC,066-50013-0101,FAA,1,HX
32300035,FLEX CABLE,2233000-916,FAA,1,HX
324066,"NAMEPLATE,ESD",473465,FAA,1,HX
324-1659-860,SCREW,622-5135-802,FAA,4,HX
3272-CO-058BNCX200-005-ND,同轴电缆(BNC),RD-AV9810-01,Confirm When Quote,2,HX
3277AA01,ELECTRONIC MODULE,AMU2790CB06,EASA,1,HX
327-901,开关,,OEM COC,1,HX
328-0020-000,顶丝,522-2457-037,Confirm When Quote,2,HX
328-0368-000,SETSCREW,822-1567-102,FAA,5,HX
328-5029-000,SET SCREW,,Confirm When Quote,8,HX
3286AA01,MODULE,AMU2790CB06,EASA,1,HX
330-0466-001,IC,,FAA,1,HX
330-0471-004,MICROCIRCUIT PROGRAM,965-1690-052,FAA,1,HX
330-1716-610,SCREW,,FAA,5,HX
330-4047-030,螺丝,,Confirm When Quote,5,HX
33058-0002,CABLE ALAMP 5.5 IN,2041444-0406,FAA,2,HX
332-2840-010,气嘴,622-5797-001,Confirm When Quote,4,HX
332-2840-020,气嘴,622-5797-001,Confirm When Quote,5,HX
334-2737-010,NUT,622-5272-001,OEM COC,1,HX
334-2737-010,NUT,622-5272-001,Confirm When Quote,1,HX
335-0275-050,调整螺钉,,FAA,1,HX
335-9001-000,SETSCREW,622-8001-370,FAA,3,HX
337-005-9002,FILTER,2117342-20,FAA,1,HX
337-005-9002,FILTER,2117342-20,FAA,1,HX
340-0004-000,RING RETAINING,622-5135-002,FAA,1,HX
340-0023-000,环,622-5135-002,FAA,2,HX
340-0120-001,"LED,RED",965-1676-003,FAA,5,HX
340-0120-003,"LED,GREEN",965-1676-003,FAA,5,HX
340-0641-000,"SLEEVE, SPRING",622-5132-622,FAA,2,HX
341-0848-002,TRANSISTOR,066-50008-0406,FAA,2,HX
342-0048-000,SCREW,622-8001-350,FAA,1,HX
342-0048-000,SCREW,622-8001-350,FAA,3,HX
342-0462-002,DIODE,066-50008-0406,FAA,5,HX
342-1350-010,SCREW,822-0990-003,FAA,3,HX
342-1361-070,SCREW,622-4591-512,Confirm When Quote,2,HX
343-0124-000,SCREW,822-0990-003,FAA,1,HX
343-0125-000,"SCREW, MACHINE",822-1710-001,FAA,25,HX
343-0126-000,SCREW,822-1293-003,FAA,12,HX
343-0128-000,SCREW,822-1293-003,FAA,2,HX
343-0134-000,SCREW,777-1492-005,FAA,4,HX
343-0134-000,SCREW,777-1492-005,FAA,9,HX
343-0135-000,螺丝,822-0732-101,Confirm When Quote,6,HX
343-0136-000,SCREW,,OEM COC,9,HX
343-0138-000,SCREW,,OEM COC,1,HX
343-0170-000,"Screw, Panhead",822-0987-003,FAA,16,HX
343-0171-000,SCREW,622-5272-020,OEM COC,8,HX
343-0332-000,螺钉,792-6140-001,Confirm When Quote,5,HX
344-5003-002,DIODE,066-50007-0111,FAA,6,HX
346B20,转动组件,162BL901,Confirm When Quote,1,HX
347225,"LED,(SMT)",,FAA,4,HX
347225,"LED,(SMT)",,FAA,1,HX
347226,FILTER,473597-5,FAA,3,HX
347227,比较器,473925,FAA,1,HX
34-810-214,".LABEL,MODIFICATION",LA2H60300HM0100,EASA,1,HX
349-1003-000,CONTACT COAX,822-1338-003,Confirm When Quote,4,HX
349-1042-000,SMA ADAPTER,066-50000-2120,Confirm When Quote,7,HX
350-0500-020,IC,622-9436-101,FAA,24,HX
350-4009-020,IC,622-3257-001,Confirm When Quote,3,HX
350-4027-180,RESISTOR,166891-01-01,Confirm When Quote,1,HX
350-4029-010,RESISTOR块,,Confirm When Quote,2,HX
350880-6,EDP PUMP,,FAA,1,HX
35-0D5-219,SCREW,35-0D5-1003,EASA,2,HX
35-0E0-010,"GUIDE,MODULE",,EASA,1,HX
35-0E0-020,SUPPORT,,FAA,3,HX
35-0E0-300X0708,IC,35-0E0-17271616,EASA,1,HX
350E053021212,350E053021212,350E053021212,FAA,1,HX
351-0043-030,IC,622-3255-001,Confirm When Quote,1,HX
351-0047-060,IC,622-7878-201,FAA,3,HX
351-0199-010,IC,822-0334-003,FAA,1,HX
351-0267-010,MICROCIRCUIT,622-9436-101,FAA,6,HX
351-0510-012,IC,,Confirm When Quote,1,HX
351-0513-020,IC,622-7999-013,Confirm When Quote,2,HX
351-0514-012,IC,827-3448-001,FAA,3,HX
351-0685-020,IC,822-1710-001,FAA,4,HX
351-0732-012,IC,622-9436-101,FAA,2,HX
351-0732-040,MICROCIRCUIT,822-1293-003,FAA,3,HX
351-0761-010,MICROCIRCUIT,822-1250-002,FAA,1,HX
351-0828-010,MICROCIRCUIT,822-0987-003,FAA,1,HX
35-1-10,接线柱,4038170-905,Confirm When Quote,8,HX
3511-015-19531-000,EEPROM,9599-607-14921,FAA,4,HX
351-1071-020,IC,822-0334-002,FAA,2,HX
351-1090-010,IC,622-1396-101,FAA,2,HX
351-1094-020,IC,,Confirm When Quote,1,HX
3.51111E+11,TRANSFORMER,,EASA,1,HX
